1	 10	 oui	6e-08	  1.04e-07	  3.24e-07
2	 136	 oui	1.43e-07	  1.77e-07	  7.06e-07
3	 2080	 oui	2.86e-07	  3.77e-07	  1.37e-05
4	 32896	 oui	4.82e-07	  8.59e-07	  0.0026
5	 524800	 oui	7.38e-07	  1.11e-06	  0.000748
6	 8390656	 oui	1.05e-06	  1.62e-06	  0.0351
7	 78860063	 non	1.46e-06	  2.28e-06	  0.0376
8	 60907666	 non	1.9e-06	  2.96e-06	  0.0357
9	 47630586	 non	2.42e-06	  3.78e-06	  0.0011
10	 38707710	 non	3e-06	  4.65e-06	  0.0372
20	 9583144	 non	1.34e-05	  1.88e-05	  0.000861
30	 4226862	 non	3.29e-05	  4.26e-05	  0.00113
40	 2362260	 non	6.1e-05	  7.62e-05	  0.00123
50	 1503486	 non	9.81e-05	  0.00012	  0.00126
60	 1046253	 non	0.000143	  0.000172	  0.00128
70	 764133	 non	0.000199	  0.000236	  0.00147
80	 587043	 non	0.000254	  0.000307	  0.00103
90	 461974	 non	0.000338	  0.00039	  0.00141
100	 374674	 non	0.000417	  0.00048	  0.00122
200	 93234	 non	0.00175	  0.00193	  0.00308
300	 41548	 non	0.00399	  0.00433	  0.00553
400	 23302	 non	0.00717	  0.00772	  0.00923
500	 14920	 non	0.0117	  0.0121	  0.0139
600	 10355	 non	0.0171	  0.0174	  0.0191
700	 7602	 non	0.023	  0.0237	  0.026
800	 5805	 non	0.0303	  0.031	  0.0327
900	 4612	 non	0.0384	  0.039	  0.0462
1000	 3726	 non	0.0474	  0.0483	  0.0522
1500	 1656	 non	0.107	  0.109	  0.113
2000	 932	 non	0.191	  0.193	  0.205
2500	 597	 non	0.298	  0.301	  0.312
3000	 414	 non	0.43	  0.434	  0.448
3500	 296	 non	0.601	  0.608	  0.628
4000	 233	 non	0.765	  0.772	  0.798
4500	 184	 non	0.968	  0.976	  1.01
5000	 148	 non	1.2	  1.21	  1.24
5500	 122	 non	1.46	  1.47	  1.5
6000	 103	 non	1.72	  1.74	  1.78
6500	 88	 non	2.02	  2.04	  2.08
7000	 75	 non	2.35	  2.37	  2.42
7500	 66	 non	2.7	  2.72	  2.77
8000	 58	 non	3.07	  3.1	  3.13
8500	 51	 non	3.47	  3.5	  3.53
9000	 45	 non	3.89	  3.93	  3.95
9500	 41	 non	4.33	  4.37	  4.41
10000	 37	 non	4.8	  4.84	  4.87
11000	 30	 non	5.83	  5.86	  5.9
12000	 25	 non	6.92	  6.96	  7
13000	 22	 non	8.14	  8.18	  8.23
14000	 18	 non	9.69	  9.74	  9.78
15000	 16	 non	10.8	  10.9	  10.9
16000	 14	 non	12.4	  12.4	  12.4
17000	 12	 non	13.9	  14	  14
18000	 11	 non	15.6	  15.7	  15.7
19000	 10	 non	17.5	  17.5	  17.5
20000	 9	 non	19.3	  19.4	  19.4
30000	 4	 non	43.5	  43.6	  43.7
40000	 2	 non	77.5	  77.5	  77.5
50000	 1	 non	121	  121	  121
60000	 1	 non	175	  175	  175
70000	 1	 non	237	  237	  237
