1	 10	 oui	0.000249	  0.0652	  0.644
2	 136	 oui	0.000214	  0.00602	  0.775
3	 2080	 oui	0.000216	  0.000334	  0.046
4	 32896	 oui	0.000225	  0.000266	  0.0464
5	 524800	 oui	0.00021	  0.000263	  0.00345
6	 8390656	 oui	0.000212	  0.000266	  0.0373
7	 674522	 non	0.000213	  0.000267	  0.00475
8	 670569	 non	0.000215	  0.000268	  0.00516
9	 672068	 non	0.000216	  0.000268	  0.00302
10	 669838	 non	0.000217	  0.000269	  0.00444
20	 609849	 non	0.000234	  0.000295	  0.0363
30	 549193	 non	0.000256	  0.000328	  0.0366
40	 475126	 non	0.000298	  0.000379	  0.00274
50	 419151	 non	0.000327	  0.000429	  0.00296
60	 374135	 non	0.000357	  0.000481	  0.00282
70	 333668	 non	0.000394	  0.000539	  0.0103
80	 300306	 non	0.000449	  0.000599	  0.0378
90	 268732	 non	0.000487	  0.00067	  0.00407
100	 239107	 non	0.000534	  0.000753	  0.00666
200	 96172	 non	0.00139	  0.00187	  0.037
300	 48912	 non	0.0028	  0.00368	  0.0378
400	 31156	 non	0.00475	  0.00578	  0.0403
500	 21182	 non	0.00722	  0.0085	  0.0148
600	 15090	 non	0.0102	  0.0119	  0.108
700	 9247	 non	0.0139	  0.0195	  0.105
800	 7109	 non	0.0183	  0.0253	  0.109
900	 5190	 non	0.0232	  0.0347	  0.122
1000	 3953	 non	0.0337	  0.0455	  0.135
1500	 1766	 non	0.0764	  0.102	  0.196
2000	 1009	 non	0.136	  0.178	  0.268
2500	 672	 non	0.212	  0.268	  0.342
3000	 438	 non	0.306	  0.41	  0.538
3500	 343	 non	0.421	  0.523	  0.617
4000	 266	 non	0.608	  0.676	  0.783
4500	 214	 non	0.777	  0.839	  0.948
5000	 177	 non	0.924	  1.01	  1.1
5500	 146	 non	1.18	  1.23	  1.29
6000	 124	 non	1.37	  1.45	  1.5
6500	 105	 non	1.6	  1.7	  1.77
7000	 91	 non	1.89	  1.98	  2.01
7500	 80	 non	2.19	  2.25	  2.27
8000	 70	 non	2.52	  2.56	  2.65
8500	 61	 non	2.86	  2.92	  3.23
9000	 54	 non	3.13	  3.29	  3.74
9500	 50	 non	3.52	  3.58	  4.08
10000	 44	 non	3.88	  4	  4.47
11000	 37	 non	4.74	  4.82	  5.42
12000	 31	 non	5.58	  5.7	  6.51
13000	 26	 non	6.6	  6.7	  7.54
14000	 23	 non	7.65	  7.73	  7.82
15000	 19	 non	8.77	  9.17	  10.2
16000	 17	 non	10	  10.1	  10.2
17000	 15	 non	11.3	  11.9	  13
18000	 13	 non	12.7	  13.1	  14.6
19000	 12	 non	14.2	  14.4	  14.7
20000	 11	 non	15.7	  16.1	  17.9
30000	 5	 non	35.4	  35.6	  36.1
40000	 2	 non	62.9	  63	  63
50000	 1	 non	98.6	  98.6	  98.6
60000	 1	 non	143	  143	  143
70000	 1	 non	193	  193	  193
